RegionName,City,State,Metro,CountyName,SizeRank,2017_avg,2017_std,2018_avg,2018_std
37215,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,2398,1869.791667,68.45359083,1771.15,33.20997591
98021,Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,2399,2533.4,95.63989753,2513.4,86.93094961
48220,Ferndale,MI,Detroit-Warren-Dearborn,Oakland County,2400,1149.375,61.08502442,1186,61.9596643
80923,Colorado Springs,CO,Colorado Springs,El Paso County,2401,1543.333333,45.60168735,1623.15,33.50078357
80129,Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,2402,2225.208333,65.95025219,2288.5,50.89449872
29801,Aiken,SC,Augusta-Richmond County,Aiken County,2403,912.5,54.41244606,1103.75,107.9308228
94559,Napa,CA,Napa,Napa County,2404,2520.833333,110.0678452,2736.25,101.0027846
94596,Walnut Creek,CA,San Francisco-Oakland-Hayward,Contra Costa County,2405,2660,121.4729674,2721.4,159.8425475
15210,Pittsburgh,PA,Pittsburgh,Allegheny County,2406,969.9583333,51.64319023,1008.3,49.77358737
31093,Warner Robins,GA,Warner Robins,Houston County,2407,802.7083333,18.85963319,796.25,36.11180555
30008,Marietta,GA,Atlanta-Sandy Springs-Roswell,Cobb County,2408,1227.777778,33.40501552,1261.4,53.52653548
78239,Windcrest,TX,San Antonio-New Braunfels,Bexar County,2409,1224.583333,46.33250899,1264.25,33.76481156
22206,Arlington,VA,Washington-Arlington-Alexandria,Arlington County,2410,2166.25,38.30388362,2230,74.62405778
32779,Longwood,FL,Orlando-Kissimmee-Sanford,Seminole County,2411,1845,50,1800.7,107.483301
6705,Waterbury,CT,New Haven-Milford,New Haven County,2412,1117.5,63.94985014,1141,44.65422712
36605,Mobile,AL,Mobile,Mobile County,2413,760.8333333,11.82922464,765.25,17.69357228
33019,Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,2414,2295,150.0833102,2448.75,43.97797744
46229,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,2415,1094.5,10.0519484,1129.25,22.30610903
36609,Mobile,AL,Mobile,Mobile County,2416,949.375,42.96467784,934.75,53.55429488
33510,Brandon,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,2417,1348.666667,14.6690339,1402.5,22.94013949
32789,Winter Park,FL,Orlando-Kissimmee-Sanford,Orange County,2418,1759.583333,89.94114588,1874.15,68.42881338
60048,Libertyville,IL,Chicago-Naperville-Elgin,Lake County,2419,1923.916667,91.60259124,2035.75,113.1484092
92663,Newport Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2420,4003.125,381.2030367,4457.5,172.6593467
22405,Fredericksburg,VA,Washington-Arlington-Alexandria,Spotsylvania County,2421,1498.125,61.76336731,1507.75,28.25
39211,Jackson,MS,Jackson,Hinds County,2421,1304.125,37.78619953,1320.75,39.11601334
31707,Albany,GA,Albany,Dougherty County,2423,689.5833333,48.36744486,737.25,27.78151364
28401,Wilmington,NC,Wilmington,New Hanover County,2424,1052.5,58.01400693,1113.5,33.01893396
31322,Pooler,GA,Savannah,Chatham County,2425,1402.291667,20.60183885,1426.5,35.57035282
32778,Tavares,FL,Orlando-Kissimmee-Sanford,Lake County,2425,1326.25,36.29307785,1360.05,39.26222739
33712,Saint Petersburg,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,2427,1226.458333,101.1417031,1223.5,50.4132919
85353,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2428,1180.416667,42.08415841,1274.4,39.60416645
77802,Bryan,TX,College Station-Bryan,Brazos County,2429,1167.142857,88.31183155,1073.5,87.49428553
15205,Pittsburgh,PA,Pittsburgh,Allegheny County,2430,1173.333333,35.95908168,1212.5,20.15564437
46239,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,2430,1238.166667,28.89876968,1254.75,25.48161102
94597,Walnut Creek,CA,San Francisco-Oakland-Hayward,Contra Costa County,2430,2782.916667,138.9013189,2779.25,107.807989
33304,Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,2433,2016.666667,108.6533734,2168.35,93.38363079
90274,Palos Verdes Estates,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2434,5191.25,327.5357805,5575.5,357.5853045
2143,Somerville,MA,Boston-Cambridge-Newton,Middlesex County,2435,2829.166667,111.7257306,2879.5,118.773945
33912,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,2436,1959.791667,164.064451,2092.15,147.5605045
33487,Boca Raton,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2437,2771.25,132.5884139,2791,144.5821566
98665,Hazel Dell North,WA,Portland-Vancouver-Hillsboro,Clark County,2438,1691.136364,56.09816514,1738.5,54.25863987
8205,Galloway,NJ,Atlantic City-Hammonton,Atlantic County,2439,1221.136364,45.34418421,1250,38.72983346
22310,Franconia,VA,Washington-Arlington-Alexandria,Fairfax County,2440,2168.333333,99.944429,2285,114.6734494
94132,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2441,4079.5,256.9236268,3821.4,188.8382641
93035,Oxnard,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,2442,2857.916667,95.96458403,3142.5,203.116346
95032,Los Gatos,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2442,3956.090909,133.2371123,4159,96.9484399
6604,Bridgeport,CT,Bridgeport-Stamford-Norwalk,Fairfield County,2444,1308.333333,88.14248251,1356.25,29.18154382
28590,Winterville,NC,Greenville,Pitt County,2445,1000,75.82875444,1068.75,66.43841133
15216,Pittsburgh,PA,Pittsburgh,Allegheny County,2446,1115,46.9041576,1146,30.88689042
63121,Northwoods,MO,St. Louis,Saint Louis County,2447,797.7916667,6.878282045,797.75,9.25
